,adult,old,young
ST_INTEGRIN_SIGNALING_PATHWAY,1,1,1
ST_GAQ_PATHWAY,1,1,1
ST_GA13_PATHWAY,1,1,1
ST_STAT3_PATHWAY,0.998,0.993,0.978
SA_FAS_SIGNALING,1,1,1
SA_G1_AND_S_PHASES,0,0.029,0.715
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES,1,1,1
ST_T_CELL_SIGNAL_TRANSDUCTION,0.998,1,0.999
ST_TYPE_I_INTERFERON_PATHWAY,0.439,0.288,0.609
ST_PAC1_RECEPTOR_PATHWAY,1,1,1
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES,1,1,1
SIG_BCR_SIGNALING_PATHWAY,1,1,1
SA_G2_AND_M_PHASES,0.983,1,1
ST_B_CELL_ANTIGEN_RECEPTOR,0.999,1,1
ST_INTERLEUKIN_4_PATHWAY,1,1,1
ST_WNT_BETA_CATENIN_PATHWAY,0.993,1,1
SA_MMP_CYTOKINE_CONNECTION,1,1,1
ST_JNK_MAPK_PATHWAY,0.572,1,1
SA_PROGRAMMED_CELL_DEATH,0.971,0.972,0.997
ST_FAS_SIGNALING_PATHWAY,0.976,0.998,0.997
ST_MYOCYTE_AD_PATHWAY,0.997,1,1
SA_PTEN_PATHWAY,1,1,1
SA_REG_CASCADE_OF_CYCLIN_EXPR,1,1,1
SA_TRKA_RECEPTOR,1,1,1
ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY,1,1,1
PID_FANCONI_PATHWAY,0.779,0.959,0.05
PID_SMAD2_3NUCLEAR_PATHWAY,0.522,1,0.997
PID_FCER1_PATHWAY,0.444,1,1
PID_ENDOTHELIN_PATHWAY,1,1,1
PID_BCR_5PATHWAY,0.937,1,1
PID_PRL_SIGNALING_EVENTS_PATHWAY,0.686,0.435,0.793
PID_RHOA_PATHWAY,1,0.843,0.971
PID_ERBB4_PATHWAY,1,1,1
PID_AURORA_B_PATHWAY,0.034,0.615,0.27
PID_LYSOPHOSPHOLIPID_PATHWAY,0.943,1,1
PID_INSULIN_PATHWAY,0.161,0,0.989
PID_NOTCH_PATHWAY,0.998,0.999,0.935
PID_INTEGRIN1_PATHWAY,0.685,0.366,0.566
PID_P73PATHWAY,1,1,1
PID_P38_MKK3_6PATHWAY,1,1,0.997
PID_GMCSF_PATHWAY,0.745,1,0.999
PID_WNT_NONCANONICAL_PATHWAY,0.997,1,1
PID_NFKAPPAB_ATYPICAL_PATHWAY,1,1,0.91
PID_IL4_2PATHWAY,0.198,0.973,0.994
PID_HDAC_CLASSII_PATHWAY,0.967,0.997,0.898
PID_BETA_CATENIN_DEG_PATHWAY,1,1,1
PID_HDAC_CLASSIII_PATHWAY,0.343,0.999,0.695
PID_GLYPICAN_1PATHWAY,0.994,0.971,0.972
PID_TCR_PATHWAY,0.015,1,1
PID_IL27_PATHWAY,0.81,0.784,0.429
PID_NFKAPPAB_CANONICAL_PATHWAY,0.998,0.498,0.928
PID_E2F_PATHWAY,0.981,0.266,0.989
PID_ER_NONGENOMIC_PATHWAY,1,1,1
PID_DNA_PK_PATHWAY,0.774,0.921,0.002
PID_HIF2PATHWAY,0.125,0.12,0.698
PID_CD40_PATHWAY,0.995,0.842,1
PID_ATR_PATHWAY,0.059,0.761,0.553
PID_INTEGRIN_CS_PATHWAY,0.011,0.735,0
PID_MET_PATHWAY,1,1,1
PID_PTP1B_PATHWAY,0,0,0.131
PID_INTEGRIN3_PATHWAY,0.74,0.42,0.131
PID_IL12_2PATHWAY,0,0.012,0.053
PID_S1P_S1P3_PATHWAY,1,1,1
PID_LPA4_PATHWAY,1,1,1
PID_AR_PATHWAY,0.991,0.983,1
PID_NFAT_TFPATHWAY,0.001,0.874,0.367
PID_EPHB_FWD_PATHWAY,0.521,1,1
PID_AVB3_OPN_PATHWAY,0.001,0.75,0.501
PID_S1P_S1P4_PATHWAY,1,1,1
PID_FRA_PATHWAY,0.869,0.235,0.968
PID_MYC_ACTIV_PATHWAY,0.613,0.591,0.041
PID_ARF6_TRAFFICKING_PATHWAY,0,0,0.382
PID_RHOA_REG_PATHWAY,0.995,1,1
PID_REELIN_PATHWAY,1,1,1
PID_PS1_PATHWAY,0.208,1,0.997
PID_ILK_PATHWAY,1,0.999,1
PID_NECTIN_PATHWAY,0.084,1,1
PID_P38_ALPHA_BETA_PATHWAY,1,1,1
PID_WNT_SIGNALING_PATHWAY,0.039,0,0.442
PID_TRAIL_PATHWAY,1,1,1
PID_CDC42_PATHWAY,1,1,1
PID_RET_PATHWAY,0.997,1,1
PID_CDC42_REG_PATHWAY,1,1,1
PID_ATM_PATHWAY,0.626,0.02,0.4
PID_ARF6_PATHWAY,1,1,1
PID_LKB1_PATHWAY,0.999,0.998,0.977
PID_CD8_TCR_PATHWAY,0.97,0.009,0.8
PID_WNT_CANONICAL_PATHWAY,1,1,1
PID_TCPTP_PATHWAY,0.023,0,0.967
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,0.999,1,1
PID_FAS_PATHWAY,0.982,0.6,0.997
PID_CIRCADIAN_PATHWAY,1,1,1
PID_TXA2PATHWAY,1,1,1
PID_SHP2_PATHWAY,1,1,1
PID_HDAC_CLASSI_PATHWAY,1,0.981,1
PID_S1P_S1P1_PATHWAY,0.999,1,1
PID_TELOMERASE_PATHWAY,0.688,0.994,0.669
PID_HNF3B_PATHWAY,1,0,1
PID_NETRIN_PATHWAY,0.979,1,1
PID_IL1_PATHWAY,0.997,1,1
PID_NFAT_3PATHWAY,1,0.996,0.999
PID_REG_GR_PATHWAY,0.991,1,0.998
PID_CONE_PATHWAY,0,0.107,0.793
PID_INTEGRIN_A9B1_PATHWAY,0.053,0.699,0.555
PID_ERB_GENOMIC_PATHWAY,1,0.978,0.985
PID_ARF6_DOWNSTREAM_PATHWAY,0.242,0.916,0.567
PID_MTOR_4PATHWAY,1,1,1
PID_IL2_1PATHWAY,0.521,1,1
PID_CXCR4_PATHWAY,1,1,1
PID_IGF1_PATHWAY,1,0.999,0.998
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,1,0.999,1
PID_TNF_PATHWAY,0.121,1,1
PID_PLK1_PATHWAY,0.644,0.693,0.378
PID_TCR_RAS_PATHWAY,0.661,0.973,0.991
PID_IL5_PATHWAY,0.999,0.948,0.99
PID_FOXO_PATHWAY,0.995,1,0.999
PID_VEGF_VEGFR_PATHWAY,1,1,1
PID_THROMBIN_PAR4_PATHWAY,1,1,1
PID_MYC_PATHWAY,0.998,0.998,1
PID_RANBP2_PATHWAY,0.675,0.998,0.839
PID_PI3KCI_PATHWAY,0.467,1,0.998
PID_AJDISS_2PATHWAY,0.999,1,0.997
PID_IL2_PI3K_PATHWAY,0.967,1,0.998
PID_CERAMIDE_PATHWAY,1,1,0.997
PID_P53_DOWNSTREAM_PATHWAY,0.213,0.421,0.458
PID_AR_TF_PATHWAY,1,1,1
PID_P75_NTR_PATHWAY,0.965,1,1
PID_S1P_META_PATHWAY,1,1,1
PID_ECADHERIN_NASCENT_AJ_PATHWAY,1,0.999,0.999
PID_INTEGRIN4_PATHWAY,1,1,1
PID_AMB2_NEUTROPHILS_PATHWAY,0.071,0.428,0.844
PID_AVB3_INTEGRIN_PATHWAY,0.99,0.996,0.34
PID_IFNG_PATHWAY,1,1,1
PID_RXR_VDR_PATHWAY,1,1,1
PID_LIS1_PATHWAY,0,0.132,0.606
PID_ERBB1_DOWNSTREAM_PATHWAY,0.187,0.995,0.997
PID_SYNDECAN_4_PATHWAY,0.16,0.382,0.068
PID_ATF2_PATHWAY,0,0,0.038
PID_AP1_PATHWAY,0.019,0.097,0.959
PID_INTEGRIN2_PATHWAY,0.318,0.083,0
PID_UPA_UPAR_PATHWAY,0.161,0.465,0.418
PID_ERBB2_ERBB3_PATHWAY,1,1,1
PID_FOXM1_PATHWAY,0.014,0.998,1
PID_EPHA_FWDPATHWAY,1,0.984,1
PID_HIF1A_PATHWAY,0.598,0.232,0.019
PID_BMP_PATHWAY,1,1,1
PID_IL3_PATHWAY,1,1,1
PID_IL6_7_PATHWAY,0.044,0.975,1
PID_ECADHERIN_KERATINOCYTE_PATHWAY,1,1,0.999
PID_ALK1_PATHWAY,0.525,0.989,0.936
PID_PDGFRB_PATHWAY,0.997,1,1
PID_TRKR_PATHWAY,0.69,1,1
PID_TCR_JNK_PATHWAY,0.696,1,0.054
PID_NEPHRIN_NEPH1_PATHWAY,1,1,1
PID_CMYB_PATHWAY,1,1,0.972
PID_IL23_PATHWAY,0.952,0.003,0.895
PID_HIV_NEF_PATHWAY,0.401,0.214,0.839
PID_SYNDECAN_1_PATHWAY,0.001,0.462,0.165
PID_P38_MK2_PATHWAY,0.977,1,0.982
PID_ERA_GENOMIC_PATHWAY,0.613,0.995,1
PID_ERBB_NETWORK_PATHWAY,1,1,1
PID_ALK2_PATHWAY,0.062,0.397,0.983
PID_RHODOPSIN_PATHWAY,1,1,1
PID_PDGFRA_PATHWAY,0.59,1,1
PID_RETINOIC_ACID_PATHWAY,0.998,1,1
PID_P38_GAMMA_DELTA_PATHWAY,0.918,0.874,0.761
PID_IL8_CXCR2_PATHWAY,1,1,1
PID_HEDGEHOG_2PATHWAY,1,1,1
PID_INTEGRIN5_PATHWAY,0.16,0.533,0.64
PID_AR_NONGENOMIC_PATHWAY,0.999,1,1
PID_ERBB1_INTERNALIZATION_PATHWAY,0.366,0.999,1
PID_HEDGEHOG_GLI_PATHWAY,1,1,1
PID_CASPASE_PATHWAY,0.114,0.966,0.555
PID_CXCR3_PATHWAY,1,1,1
PID_BETA_CATENIN_NUC_PATHWAY,0.998,0.998,1
PID_VEGFR1_PATHWAY,0.994,0.995,0.935
PID_SMAD2_3PATHWAY,1,0.984,1
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY,0.998,0.983,0.987
PID_KIT_PATHWAY,1,1,1
PID_ECADHERIN_STABILIZATION_PATHWAY,0.995,0.886,0.999
PID_EPO_PATHWAY,1,1,1
PID_IL2_STAT5_PATHWAY,0.933,0.925,0.977
PID_TCR_CALCIUM_PATHWAY,0.227,1,1
PID_DELTA_NP63_PATHWAY,0.949,0.499,0.762
PID_VEGFR1_2_PATHWAY,1,0.992,1
PID_THROMBIN_PAR1_PATHWAY,1,1,1
PID_A6B1_A6B4_INTEGRIN_PATHWAY,0.262,0.036,0.087
PID_SYNDECAN_2_PATHWAY,0.938,0.542,0.793
PID_RAC1_REG_PATHWAY,1,1,1
PID_AURORA_A_PATHWAY,0.996,0.671,1
PID_ARF_3PATHWAY,0.111,0.98,0.994
PID_INSULIN_GLUCOSE_PATHWAY,0.005,0,0.485
PID_PI3KCI_AKT_PATHWAY,1,1,0.999
PID_SYNDECAN_3_PATHWAY,0.951,0.885,0.788
PID_IL8_CXCR1_PATHWAY,1,1,1
PID_MYC_REPRESS_PATHWAY,0.247,0.975,0.13
PID_HIF1_TFPATHWAY,0.001,0.054,0.149
PID_TAP63_PATHWAY,0.83,0.261,0.376
PID_EPHRINB_REV_PATHWAY,1,1,1
PID_BARD1_PATHWAY,0.009,0.278,0.263
PID_P53_REGULATION_PATHWAY,0.999,0.934,0.996
PID_TOLL_ENDOGENOUS_PATHWAY,0.753,0.581,0.495
PID_NCADHERIN_PATHWAY,1,0.432,0.999
PID_ANTHRAX_PATHWAY,0.999,0.786,1
PID_S1P_S1P2_PATHWAY,0.999,1,1
PID_RAS_PATHWAY,0.737,1,0.945
PID_MAPK_TRK_PATHWAY,0.995,1,1
PID_PI3K_PLC_TRK_PATHWAY,1,1,1
PID_CD8_TCR_DOWNSTREAM_PATHWAY,0.009,0.015,0.955
PID_EPHA2_FWD_PATHWAY,1,1,1
PID_LYMPH_ANGIOGENESIS_PATHWAY,0.985,0.998,1
PID_ALPHA_SYNUCLEIN_PATHWAY,0.001,0.032,0.276
PID_FGF_PATHWAY,0.994,1,1
PID_INTEGRIN_A4B1_PATHWAY,0.993,0.939,0.622
PID_RAC1_PATHWAY,1,1,0.999
PID_RB_1PATHWAY,1,1,1
PID_FAK_PATHWAY,0.998,1,1
PID_HNF3A_PATHWAY,0,0.882,1
PID_TGFBR_PATHWAY,1,0.999,0.987
PID_HES_HEY_PATHWAY,1,1,1
PID_IL12_STAT4_PATHWAY,0.004,0.975,0.992
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,0.645,0.847,0.737
REACTOME_TRANSLATION,0.991,0.859,0.95
REACTOME_PYRIMIDINE_CATABOLISM,1,1,1
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER,0.191,0.975,0.002
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,0,0.001,0.147
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,0.579,0.51,0.043
REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS,0,0.956,0.873
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION,0.029,0.923,0.292
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.488,0.964,0.98
REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION,0.003,0.809,0.822
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX,0.98,0.251,0.751
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.58,0,0
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS,0.132,0.995,0.673
REACTOME_GAP_JUNCTION_DEGRADATION,0.823,0.521,0.77
REACTOME_BASE_EXCISION_REPAIR,0.994,0.062,0.856
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,1,0.04,0.983
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,0.997,0.081,0.99
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS,1,1,1
REACTOME_SIGNALING_BY_RHO_GTPASES,0.999,1,1
REACTOME_SIGNALING_BY_WNT,0.999,0.995,1
REACTOME_METABOLISM_OF_NON_CODING_RNA,0.143,0.97,0
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,0.68,0.12,0.888
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,0.999,0.045,0.988
REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D,0.775,0.957,0.045
REACTOME_ANDROGEN_BIOSYNTHESIS,1,1,1
REACTOME_SIGNALLING_BY_NGF,1,1,1
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE,0.19,0.999,0.996
REACTOME_INSULIN_RECEPTOR_RECYCLING,0,0,0
REACTOME_COPI_MEDIATED_TRANSPORT,0,0,0.811
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,0.627,0,0.027
REACTOME_SIGNALING_BY_SCF_KIT,1,1,1
REACTOME_DEVELOPMENTAL_BIOLOGY,0.998,0.408,1
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,1,0.999,1
REACTOME_SIGNALING_BY_NODAL,0.938,0.796,0.999
REACTOME_DAG_AND_IP3_SIGNALING,1,1,0.999
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING,0.026,0.97,0.881
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,1,1,1
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION,1,1,1
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.895,1,1
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,1,1,1
REACTOME_TRIF_MEDIATED_TLR3_SIGNALING,0.029,1,1
REACTOME_CELL_CELL_COMMUNICATION,1,0.729,0.998
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.123,0.223,0.921
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,0.99,0.183,0.854
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,0.056,0.999,0.985
REACTOME_ER_PHAGOSOME_PATHWAY,0.866,1,1
REACTOME_MEIOSIS,0.997,0.857,0.985
REACTOME_NEGATIVE_REGULATION_OF_FGFR_SIGNALING,0.011,0.914,0.976
REACTOME_G0_AND_EARLY_G1,0.919,0.734,0.994
REACTOME_REGULATION_OF_KIT_SIGNALING,1,1,1
REACTOME_MEMBRANE_TRAFFICKING,0.497,0.083,0.99
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,0.007,0.106,0.603
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,1,0.987,1
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE,0.95,0.88,1
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,0.809,0.002,0.757
REACTOME_BOTULINUM_NEUROTOXICITY,0.996,0.919,1
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.664,0.058,0.156
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,0.232,0.907,1
REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS,0.992,0.863,1
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,0.855,0,0.827
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS,0.017,0.91,0.514
REACTOME_IL_7_SIGNALING,0.561,0.512,0.956
REACTOME_CELL_CYCLE,0.117,0.601,0.07
REACTOME_SIGNALING_BY_ERBB4,1,0.993,0.998
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,0.946,0.81,0.979
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,0.62,0.998,0.306
REACTOME_SULFUR_AMINO_ACID_METABOLISM,0.001,0.236,0.056
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,0.998,0.918,0.894
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.333,0.959,0.706
REACTOME_PROLACTIN_RECEPTOR_SIGNALING,0.905,0.977,0.9
REACTOME_SIGNALING_BY_ERBB2,1,1,1
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,1,1,0.977
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS,1,0.769,0.972
REACTOME_DEFENSINS,1,1,1
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR,0.91,0.981,0.522
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,1,0.997,0.999
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,1,1,1
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS,0.846,0.991,0.574
REACTOME_BETA_DEFENSINS,1,1,1
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,0.921,0.686,0.977
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,1,0.999,1
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING,1,1,0.999
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING,1,1,1
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,0.762,0.805,0.606
REACTOME_GLYCOSPHINGOLIPID_METABOLISM,0.428,0,0.03
REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION,1,0.882,1
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX,0.67,0,0.952
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI,1,0.893,0.998
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION,0.554,0.996,1
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.009,0,0.002
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,0.961,0.993,0.907
REACTOME_SIGNALING_BY_HIPPO,0.493,1,1
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,0.26,0.861,0.875
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,1,1,1
REACTOME_SIGNALING_BY_NOTCH4,0.998,0.329,1
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,0.001,0.125,0.035
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,0.996,0.992,1
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION,1,1,1
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,0.985,1,0.777
REACTOME_REGULATION_OF_COMPLEMENT_CASCADE,1,1,1
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION,1,1,1
REACTOME_SIGNALING_BY_NOTCH2,0.998,0.331,1
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,1,0.975,1
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,0.001,0.035,0.798
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.041,0.001,0.916
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,0.01,0.719,0.785
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA,1,1,1
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI,1,0.205,0.998
REACTOME_SIGNALING_BY_NOTCH1,0.996,0.835,0.94
REACTOME_SIGNALING_BY_NOTCH3,0.998,0.357,1
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS,0.924,1,0.878
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE,0.175,0,1
REACTOME_ARMS_MEDIATED_ACTIVATION,0.999,0.924,1
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS,1,0.944,1
REACTOME_SIGNALLING_TO_RAS,1,0.786,0.996
REACTOME_SIGNALING_BY_BMP,0.472,0.991,1
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.994,0.27,0.681
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE,0.995,1,1
REACTOME_SIGNALLING_TO_ERKS,1,0.991,1
REACTOME_P38MAPK_EVENTS,1,0.974,1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,0,0.334,0.831
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,0.991,0.99,0.853
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,0.94,0.764,0.288
REACTOME_COLLAGEN_FORMATION,0.139,0.016,0.418
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,0.777,0.872,0.377
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE,1,1,1
REACTOME_HS_GAG_DEGRADATION,0.931,0.975,0.991
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,1,0.994,1
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN,0.999,0.967,0.985
REACTOME_P53_INDEPENDENT_G1_S_DNA_DAMAGE_CHECKPOINT,0.998,0.999,1
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN,0.855,0.872,0.185
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,1,1,1
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,0.995,1,1
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,0.979,0.866,0.632
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2,1,1,1
REACTOME_PHOSPHOLIPID_METABOLISM,1,0.762,1
REACTOME_CS_DS_DEGRADATION,1,1,1
REACTOME_SYNTHESIS_OF_PA,1,0.999,1
REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA,0.796,0.579,0.767
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE,0.999,0.987,1
REACTOME_SYNTHESIS_OF_PE,0.691,0.803,0.696
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK,0.982,0.004,0.986
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,0.984,0.902,1
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION,0.248,0.766,0.907
REACTOME_SIGNALING_BY_FGFR1_MUTANTS,1,1,1
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,1,1,1
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES,0.658,0.959,0.964
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,0.776,0.972,0.787
REACTOME_HYALURONAN_METABOLISM,1,0.985,0.999
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,0.86,0.992,0.972
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,0.958,0.998,1
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE,1,1,1
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS,0.99,0.998,1
REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM,0.821,0.004,0.344
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1,1,1,1
REACTOME_PI_METABOLISM,1,1,1
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,1,1,1
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,0.938,0.63,0.999
REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS,0.005,0.004,0.02
REACTOME_SYNTHESIS_OF_PC,0.889,0.895,0.774
REACTOME_HS_GAG_BIOSYNTHESIS,0,0.996,1
REACTOME_SIGNALING_BY_FGFR3_MUTANTS,1,1,1
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,1,1,1
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,0,0.452,0.823
REACTOME_KERATAN_SULFATE_DEGRADATION,1,1,1
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,0.999,0.768,1
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,1,0.943,1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,1,1,1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,1,0.997,1
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,1,1,1
REACTOME_SIGNALING_BY_FGFR_MUTANTS,1,1,1
