,GSM2172075,GSM2172102,GSM2172173,GSM2172352,GSM2174145,GSM2174148,GSM2174150,GSM2174151,GSM2174153,GSM2174156,GSM2174158,GSM2174161,GSM2174168,GSM2174170,GSM2174171,GSM2174172,GSM2174173,GSM2174176,GSM2174177,GSM2174182,GSM2174190,GSM2174194,GSM2174195,GSM2174196,GSM2174198,GSM2174201,GSM2174204,GSM2174205,GSM2174207,GSM2174209,GSM2174213,GSM2174215,GSM2174217,GSM2174224,GSM2174229,GSM2174231,GSM2174238,GSM2174241,GSM2174242,GSM2174247,GSM2174249,GSM2174253,GSM2174255,GSM2174259,GSM2174261,GSM2174262,GSM2174263,GSM2174265,GSM2174268,GSM2174270,GSM2174276,GSM2174281,GSM2174282,GSM2174283,GSM2174285,GSM2174289,GSM2174294,GSM2174296,GSM2174299,GSM2174305,GSM2174307,GSM2174309,GSM2174310,GSM2174313,GSM2174316,GSM2174324,GSM2174325,GSM2174326,GSM2174336,GSM2174343,GSM2174346,GSM2174347,GSM2174352,GSM2174356,GSM2174358,GSM2174359,GSM2174360,GSM2174368,GSM2174370,GSM2174376,GSM2174379,GSM2174381,GSM2174383,GSM2174386,GSM2174389,GSM2174390,GSM2174403,GSM2174406,GSM2174407,GSM2174408,GSM2174416,GSM2174417,GSM2174422
Glomerulonephritis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Glucosephosphate_dehydrogenase_deficiency,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Glycerol_kinase_deficiency,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Glycine_encephalopathy,0.0536,0.0629999999999999,1,0.1386,0.77,0.462,0.027,0.6878,0.519,0.837,0.3816,0.9852,1,1,0.4218,0.8612,0.9798,0.3506,0.071,0.5922,0.9558,1,0.0722,1,0.807,0.6632,0.5466,0.9948,0.9254,0.124,1,1,0.7504,1,0.0976,0.9586,0.9768,0.899,0.996,0.967,0.1838,0.4788,0.593,1,1,0.9194,0.9972,0.2548,0.9678,0.9796,0.9202,0.8346,1,1,0.701,0.7672,0.1102,0.0816,0.5382,0.0427999999999999,0.9774,0.773,0.828,1,0.978,0.2582,0.3644,0.9988,0.9862,0.1214,1,0.291,0.812,0.3918,0.8262,0.9912,0.762,0.2886,0.9596,0.7664,0.6684,0.987,1,0.9692,0.8106,0.8002,0.9976,0.892,0.904,0.8074,0.5706,0.3794,0.9798
Glycogen_storage_disease,1,0.9888,0.9952,0.996,0.4098,0.757,0.9952,0.7674,0.9144,0.9016,1,0.9428,1,1,0.9662,0.6458,0.9332,0.9352,1,0.9156,0.9686,1,1,0.996,0.975,1,0.9996,0.3944,0.9536,0.7386,0.8234,1,1,1,0.7702,1,0.9806,0.9992,0.9972,0.5792,0.141,0.5098,0.4414,0.9846,0.9966,0.9982,0.7438,0.9582,1,0.976,0.7784,0.695,0.9952,1,0.9894,0.783,0.9992,0.9988,0.5052,0.9246,0.9354,0.9988,0.9802,1,0.3906,1,0.9998,0.9998,0.9408,0.9988,0.3604,0.997,0.988,0.975,1,0.9718,0.9588,0.8626,0.9974,1,0.8332,0.5396,1,0.8,0.9518,1,1,0.8036,0.8988,0.1838,0.9936,0.966,1
Glycogen_storage_disease_V,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Glycoproteinosis,1,0.5748,0.3768,0.0626,1,0.0538,1,0.0342,1,1,1,1,1,1,1,0.1884,0.2566,1,1,1,0.9052,0.979,1,1,0.6364,1,0.0266,1,0.7304,1,1,1,1,1,0.2528,1,0.628,0.036,1,1,1,1,0.737,1,1,1,1,0.1478,1,1,0.4604,1,0.2582,0.607,1,0.9426,0.6376,1,1,1,1,0.5218,1,1,0.002,1,1,1,0.635,1,1,0.8826,1,1,1,0.0602,1,0.0165999999999999,1,1,1,0.1708,0.9838,1,1,0.624,1,0.4778,1,1,1,1,1
Goiter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goldberg_Shprintzen_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goldenhar_syndrome,1,0.9958,1,0.4238,1,1,1,0.475,0.1996,1,1,1,1,1,1,1,1,1,0.1914,0.5802,1,1,1,1,0.0868,1,0.1096,1,0.0246,0.7282,1,1,1,1,0.6578,1,0.1226,0.3936,1,0.0182,0.23,1,0.2762,1,1,1,1,1,1,0.000199999999999978,0.169,1,1,1,0.377,1,1,1,0.603,1,1,1,0.6426,1,0.0248,1,1,1,1,0.02,1,1,1,0.435,1,1,0.992,0.9032,1,0.6848,0.7128,0.6748,1,1,0.0976,0.7972,1,0.0728,0.108,0.0302,0.4948,1,1
Gonadoblastoma,1,0.3172,0.2452,0.1982,0.2598,0.1484,1,0.3162,0.8186,0.8994,0.3604,0.108,0.4578,1,0.7388,0.4336,0.567,0.4684,1,0.2896,1,0.6776,0.955,0.0296,0.0904,0.2452,0.2066,0.8562,1,0.2826,1,1,1,0.3874,1,1,0.6962,0.7528,0.0332,1,0.2362,0.0396,0.5106,0.0928,0.8848,0.1094,1,0.0342,1,1,0.2888,0.438,0.8934,0,0.4692,0.5998,0.859,0.4654,0.5934,0.611,0.915,0.559,0.2376,1,0.0185999999999999,1,0.2838,0.0624,0.8088,0.1484,0.883,1,1,0.0436,1,1,0.6682,0.1038,0.0316,1,0.4452,0.0846,0.6136,0.8264,1,1,1,0.0901999999999999,0.155,1,0.1124,0.2108,0.2916
Gonorrhea,1,0.4164,1,0.9358,1,1,1,0.8342,1,1,1,1,1,1,1,1,0.9996,1,1,1,1,1,1,0.9118,1,1,0.7802,0.309,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9952,1,1,1,0.671,1,1,1,1,1,1,1,1,0.629,1,0.9904,1,1,0.8422,1,0.9692,1,1,0.9518,1,1,1,1,1,1,1,1,1,1,1,1,0.6342,1,1,1,1,1,1,1,1,1,0.9682,1,1,0.9754,1,1
Goodpasture_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gout,0.00319999999999998,0.9806,0.6118,0.918,0.6744,0.9186,0.9886,0.9302,0.9924,0.9632,0.9898,0.7384,0.0185999999999999,0.7884,0.9582,0.4994,0.9932,0.6542,0.999,0.9972,0.9078,0.9694,0.8904,0.947,0.8762,0.84,0.9946,0.9932,0.8674,0.9906,0.9964,0.9288,0.9342,0.9834,0.3204,0.0138,0.9938,0.96,0.9712,0.778,0.8992,0.9906,0.5864,0.0376,0.9216,0.9984,0.2226,0.1794,0.968,0.985,0.114,0.9256,0.9248,0.4614,0.872,0.8758,0.9116,0.6028,0.9,0.8408,0.4548,0.9982,0.9996,0.887,0.8508,0.696,0.9956,1,0.9878,0.8994,0.995,0.9388,0.7458,0.7114,1,0.9474,0.9958,0.9386,0.0112,0.8678,0.9834,0.9734,0.984,0.8596,0.9984,0.9844,1,0.776,0.9882,0.735,0.9766,0.9876,0.9622
Granular_cell_tumor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Granulomatous_amebic_encephalitis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Graves__disease,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guillain_Barre_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gynecomastia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gyrate_atrophy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hailey_Hailey_disease,1,0.1772,1,1,1,0.8416,0.9944,0.7912,1,1,0.8766,1,1,0.5114,1,1,0.9852,0.9788,0.901,0.7258,1,0.9784,1,0.9216,1,0.3532,0.9562,0.2886,0.216,1,1,1,1,1,0.8562,1,0.684,0.969,0.9414,0.8088,1,1,1,1,1,1,1,1,0.9894,1,0.9944,1,1,0.9586,0.389,1,1,1,1,1,0.6366,0.969,1,1,0.8898,1,1,0.4692,1,1,0.4956,1,1,1,0.9804,0.8952,1,0.8662,0.6848,1,0.4966,0.3542,1,1,0.7,1,1,0.9878,0.818,1,1,0.9264,1
Hajdu_Cheney_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hallermann_Streiff_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hantavirus_pulmonary_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hard_palate_cancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.399,1,1,1,1,1,1,1,1,1,1,1,0.0484,0.3722,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0266,1,1,1,1,0.3078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.771,1,1,1
Hartnup_disease,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Head_and_neck_cancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Head_and_neck_squamous_cell_carcinoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Heart_conduction_disease,0.3716,0.3918,0.7616,0.8864,0.8406,0.9308,0.9116,0.9612,0.8192,0.7242,0.65,0.9032,0.976,0.8986,0.902,0.7948,0.9716,0.9722,0.99,0.7572,0.9354,0.779,0.8206,0.6472,0.8576,0.6074,0.976,0.5262,0.6892,0.9612,0.7442,0.948,0.9278,0.8214,0.963,0.2302,0.9376,0.9472,0.7116,0.9752,0.8006,0.5852,0.7122,0.5418,0.9518,0.995,0.8456,0.859,0.8784,0.973,0.9312,0.9004,0.5072,0.99,0.6068,0.4476,0.773,0.6308,0.996,0.974,0.6218,0.8052,0.9862,0.3772,0.6288,0.6978,0.6982,0.4474,0.97,0.9458,0.0692,0.2642,0.9584,0.339,0.7116,0.471,0.7886,0.8872,0.821,0.9394,0.528,0.8624,0.2658,0.741,0.9706,0.8956,0.7886,0.8866,0.6654,0.5952,0.982,0.1928,0.7078
Heart_disease,0.309,0.7986,0.5282,0.156,0.4448,0.0610000000000001,0.5002,0.3098,0.751,0.1526,0.1066,0.7448,0.2236,0.9946,0.585,0.4146,0.2936,0.221,0.0524,0.1234,0.6116,0.3698,0.3698,0.7634,0.0618,0.1138,0.6132,0.7348,0.2376,0.0748,0.2238,0.2332,0.6722,0.2112,0.00719999999999998,0.8934,0.3718,0.4674,0.7626,0.5432,0.0236,0.5016,0.5764,0.9864,0.0304,0.1924,0.5692,0.1608,0.2342,0.5022,0.886,0.2398,0.831,0.588,0.5228,0.7234,0.9836,0.2924,0.097,0.3298,0.2742,0.2668,0.3582,0.7006,0.9038,0.5468,0.9244,0.748,0.8858,0.478,0.0228,0.4518,0.452,0.1306,0.5852,0.2018,0.3956,0.2314,0.3668,0.2936,0.017,0.61,0.226,0.3314,0.7876,0.4294,0.704,0.0316,0.144,0.6326,0.2784,0.3916,0.9656
Heavy_chain_disease,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hemangioma,0.6644,0.7564,0.9378,0.4928,0.985,0.1714,0.6702,0.9448,0.9992,0.3392,0.9976,0.9906,0.7646,1,0.0772,0.1048,0.6242,0.4242,0.916,0.5556,0.235,0.7218,1,0.6678,0.8494,0.9942,0.0416,0.8908,0.8564,0.9738,0.9988,0.263,1,1,0.871,1,0.9906,0.7182,0.3658,0.9948,0.4458,0.6856,0.9012,0.9844,0.806,0.418,0.5104,0.977,0.9988,0.6856,0.8536,0.9938,0.7274,0.9454,0.557,0.9432,0.9104,0.9942,0.9574,0.2258,0.4814,0.2248,0.7598,0.9972,0.0952,0.4952,0.9114,0.9852,0.6976,0.9246,0.9496,0.461,0.98,0.9828,0.3562,0.9784,0.9308,0.1688,0.9424,0.9378,0.955,0.5594,1,0.0704,0.9844,0.9452,0.2968,0.209,0.5404,0.64,0.9958,0.9162,0.8334
Hematologic_cancer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hemiplegia,1,1,1,1,1,1,1,1,1,0.0956,1,1,1,1,1,1,1,0.529,1,1,1,1,1,1,1,1,0.1788,1,1,1,1,1,1,1,1,1,1,0.8762,1,1,1,1,0.9838,1,1,1,1,0.7158,0.882,1,1,1,1,1,0.3692,1,1,0.0256,0.7764,1,1,1,0.8706,1,0.8284,1,1,1,1,1,1,0.1002,1,0.9516,1,1,1,0.9678,1,1,1,0.129,0.125,1,0.983,1,1,0.3794,0.8204,1,1,1,1
Hemochromatosis,0.3616,0.0118,0.6256,0.1202,0.075,0.0536,0.0504,0.7306,0.803,0.1944,0.106,0.441,0.0774,0.8372,0.00360000000000005,0.1098,0.00319999999999998,0.00260000000000005,0.0296,0.74,0.0316,0.184,0.308,0.5216,0.3042,0.0732,0,0.9436,0.00460000000000005,0.3148,0.1358,0.428,0.6256,0.9554,0.8036,1,0.002,0.4068,0.9862,0.000399999999999956,0.038,0.0352,0.1018,0.1326,0.929,0.9286,0.8446,0.188,0.00660000000000005,0.0898,0.0868,0.6644,0.0158,1,0.002,0.513,0.333,0.0931999999999999,0.0258,0.9236,0.5634,0.0536,0.8312,0.9996,0,0.5706,0.0732,0.7742,0.2486,0.3768,0.5938,0.00180000000000002,0.6094,0.0884,0.0252,0.4616,0.0804,0.0600000000000001,0.4298,0.00319999999999998,0.2888,0.2946,0.902,0.029,1,0.00219999999999998,0.9732,0.3008,0.0592,0.328,0.2496,0.001,0.9992
Hemolytic_anemia,0.9956,0.9446,0.964,0.1218,0.9996,0.4142,0.8798,0.755,0.999,1,0.9978,0.752,0.8414,0.4684,0.9638,0.26,0.9988,0.993,0.9824,0.7024,0.8896,0.982,0.6092,0.1338,0.1488,0.3178,0.3088,0.5814,0.999,0.9964,0.9904,0.8516,0.0165999999999999,0.9964,0.5564,1,0.931,0.0896,0.9906,0.9954,0.9848,0.9858,0.9996,0.993,0.3086,0.8972,0.919,0.861,0.9988,0.9832,0.9398,0.9788,0.9964,0.999,0.1362,0.8546,0.9288,0.999,0.6288,0.992,0.9964,0.9996,0.9444,0.9988,0.8628,0.9988,0.927,0.9996,0.6972,0.579,0.9894,0.96,1,0.8366,0.609,0.7454,0.9996,0.999,0.9816,0.723,0.8968,0.5182,0.6248,0.9996,0.975,0.9446,1,0.9904,0.998,0.9476,0.999,0.9698,0.999
Hemometra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hemophagocytic_lymphohistiocytosis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hemophilia_B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hemorrhagic_disease,1,0.8598,1,1,0.414,0.1564,1,1,1,1,1,1,0.9744,1,1,1,0.5442,1,0.9968,1,1,1,1,1,1,1,0.1528,1,1,1,1,1,0.8178,1,1,1,1,0.9788,1,1,0.8752,1,1,1,1,0.253,1,1,0.991,1,1,1,1,1,1,1,1,0.8504,1,1,1,1,0.9944,1,0.1962,1,1,1,0.1888,1,1,1,0.9958,1,0.9732,0.841,1,1,0.9864,1,1,1,0.9946,1,0.9968,1,1,0.4834,1,1,1,1,1
Hemorrhagic_fever_with_renal_syndrome,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hemorrhoid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Henoch_Schoenlein_purpura,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hepatic_encephalopathy,1,0.9806,1,0.98,1,1,1,1,0.997,1,0.998,0.9918,0.4328,1,0.9952,0.9974,0.9928,0.9876,1,1,0.9884,1,1,1,1,1,0.9532,1,0.975,1,1,1,1,1,0.9974,1,1,0.9992,0.9988,0.999,1,0.987,1,1,1,0.9998,0.9816,0.9988,1,1,0.9652,1,1,1,1,0.998,0.925,0.98,1,1,0.8784,0.9954,1,1,0.9912,1,1,1,0.9686,0.9944,1,0.9914,1,0.9892,1,0.9866,0.9586,0.999,0.9788,1,0.9526,1,1,0.997,1,1,1,0.0934,1,1,1,1,1
Hepatic_vein_thrombosis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hepatitis,0,0.001,1,0.00219999999999998,0.045,0,0.0492,0,0.000800000000000023,0.0242,0.1276,0.3816,1,1,0.0258,0,0.00219999999999998,0.025,0.00660000000000005,0.00419999999999998,0.0858,0.00619999999999998,0.8134,0.00700000000000001,0.000800000000000023,0.00939999999999996,0.000800000000000023,0,0,0,0.1144,0.7396,0.00239999999999996,0.8932,0.0134,1,0.2322,0.1184,0.002,0.0214,0,0.00919999999999999,1,0,0.0682,0.00660000000000005,0,0,0.1846,0,0,0.0118,0.193,0.1584,0.0608,0.001,0.1714,0.0936,0.014,0.000399999999999956,0,0,0.0182,1,0.00239999999999996,0,0.03,0,0.00380000000000003,0.0246,0.0208,0.3068,0.000800000000000023,0,0.7338,0.0406,0.00280000000000002,0.000199999999999978,0,0.0586,0.002,0,1,0.00280000000000002,1,1,0.003,0,0.0314,0.0155999999999999,1,0,0
Hepatitis_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hepatitis_B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hepatitis_C,1,1,1,1,1,1,1,0.00160000000000005,1,1,0.757,1,1,1,1,0.00160000000000005,0.00180000000000002,1,1,0.00560000000000005,0.00800000000000001,1,0.5562,1,0.00160000000000005,1,0.000199999999999978,1,0.1318,1,0.04,1,1,1,1,1,1,1,1,0.1214,0.00239999999999996,1,1,1,1,0.0368000000000001,1,1,1,0.001,1,1,1,1,0.0417999999999999,1,1,1,1,1,0.00239999999999996,1,0.00160000000000005,1,0.000199999999999978,1,1,1,1,0.0134,1,1,1,0.01,1,0.018,1,1,1,0.0952,0.00160000000000005,0.00160000000000005,1,1,0.00119999999999998,1,1,0.0356,1,0.00160000000000005,1,1,0.0172
Hepatitis_D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hepatitis_E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
